"","X","budget","runtime","comedy","family","adventure","drama","history","horror","documentary","actorMovieCount","directorMovieCount","domestic","newyearsday","presidentsday","christmaseve","newyearsdayobserved","DirectorEarnings","success_1_to_1"
"259",259,24078133.8007948,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"260",260,3e+07,75,0,0,0,0,0,0,0,0,2,0,0,0,0,0,202360545,1
"261",261,1900000,130,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
"262",262,5e+06,93,0,0,0,0,0,1,0,0,1,1,0,0,0,0,54418872,1
"263",263,5e+07,139,1,0,0,0,0,0,0,2,2,1,0,0,0,0,103710274,1
"264",264,24078133.8007948,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"265",265,2.8e+07,86,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"266",266,24078133.8007948,127,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"267",267,6e+06,101,0,0,0,1,0,0,0,0,1,0,0,0,0,0,73956241,1
"268",268,24078133.8007948,113,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"269",269,5e+07,132,0,0,1,0,0,0,0,3,3,1,0,0,0,0,466363200,0
"270",270,500,78,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"271",271,1800000,125,0,0,0,1,0,0,0,0,2,1,0,0,0,0,9600005,1
"272",272,8e+06,103,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"273",273,4e+07,149,0,0,0,1,0,0,0,2,3,1,0,0,0,0,164165912,1
"274",274,1.5e+07,97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"275",275,3e+07,115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"276",276,1.4e+07,94,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"277",277,2.3e+07,76,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3983912,0
"278",278,2.5e+07,121,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1
"279",279,24078133.8007948,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"280",280,1.4e+07,111,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"281",281,4900000,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282",282,16500000,94,1,0,0,0,0,0,0,1,5,1,0,0,0,0,730611137,1
"283",283,7e+06,104,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
"284",284,8e+06,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"285",285,3e+07,131,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"286",286,2.8e+07,113,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"287",287,2e+07,103,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,1
"288",288,1.7e+07,98,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"289",289,1.8e+07,161,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"290",290,24078133.8007948,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"291",291,1.6e+07,130,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"292",292,1.2e+07,97,1,1,0,0,0,0,0,0,1,1,0,0,0,0,9109322,1
